delta_x,delta_y
0.19550968057469334,-0.07755889841324826
0.20053393954506696,-0.3990645911085522
0.1935876525661556,-0.2455557494397768
0.05134924244522286,-0.2612280160799098
0.09141361915856122,-0.14157092762846318
0.07002035784925192,-0.3154894109153644
0.19985848901104766,-0.12750171687147274
0.011921964643331426,-0.04679387080405645
0.23970495847421874,-0.1173106278438986
0.29255558494457384,-0.3629140363790036
0.0657064966727811,-0.3314934421521364
0.037345082621995714,-0.3173745344974803
0.02609088537368728,-0.4022168908726932
0.16109457236399602,-0.4370283606502983
0.07052292962661479,-0.35579736623983943
0.05351817415879773,-0.4084705793289261
-0.021355212520244582,-0.3122943752919024
-0.14299555132614755,-0.30148334537979593
-0.11954591288728847,-0.2296817687686329
-0.0788285027733071,-0.3217501066503233
0.02141896838134016,-0.4770676065865293
-0.0315302899531515,-0.4124292600581893
-0.12054317861542252,-0.41040228964143216
-0.12754533334654014,-0.3179172337583733
-0.30372197185687755,-0.40338705624251797
-0.25254466955346666,-0.3901284261601066
-0.0398911472885576,-0.4682725602892917
-0.051991018404418735,-0.5568499528565025
0.01361497553957242,-0.7066135726142463
-0.13069263765394062,-0.5825351942453787
-0.10611004485823956,-0.4719928443889964
-0.2899838851302776,-0.3973108930688798
-0.229537278504554,-0.7022225427034803
-0.023666146592061857,-0.6897850801568312
-0.11101346962906128,-0.5970663675793912
-0.1881292776079551,-0.5912543859506478
-0.16883879955774878,-0.6025872902795882
-0.2207965387966077,-0.6397191949911242
-0.1498323325402745,-0.5473098949357913
-0.2066828496755788,-0.6876827561380229
-0.2184167450975295,-0.7283241718127363
-0.23584257097549044,-0.7087887323535311
-0.2113871628600858,-0.7918931749919523
-0.28936479804899395,-0.7512880317738461
-0.1627695721270428,-0.7936932450345806
-0.2203755502354673,-0.8053186631902809
-0.2834414319974934,-0.7191121056363723
-0.13712097126249834,-0.78435028796188
-0.21959753742677976,-0.9132234793092334
-0.2386296062595551,-0.8255799811145349
-0.23778992208363536,-0.8730561551897317
-0.4175179679508231,-0.8299132016661642
-0.29639950992751474,-0.8374432914375242
-0.31739154511338485,-0.7946407002187525
-0.3145457095993793,-0.8404489074259736
-0.3069543117394285,-0.7527400832156306
-0.3551676941512737,-0.8330694004746014
-0.3685736673511608,-0.7579411195554142
-0.37355643288677776,-0.6962671630893801
-0.4879546979472274,-0.7262360358089859
-0.3634751633332271,-0.8505522024244787
-0.4335800668468327,-0.974199716747711
-0.3900877642674177,-0.9825706665033368
-0.4184364900308314,-0.9438700165138808
-0.4098336129755759,-1.0275090929391455
-0.39259626636291206,-1.0169202918000937
-0.5085429943771959,-0.8991573692102601
-0.6051038885921628,-0.852504056747043
-0.4256674034848435,-1.0754722762308004
